reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
X515KA-EJ008,https://agora.tn/fr/pc-portable/16616-pc-portable-asus-x515ka-celeron-n4500u-4go-256go-ssd-silver.html,PC PORTABLE ASUS X515KA CELERON N4500U 4GO 256GO SSD SILVER,Asus,https://agora.tn/fr/46133-home_default/pc-portable-asus-x515ka-celeron-n4500u-4go-256go-ssd-silver.jpg,agora,15.6,Intel Celeron,4,256 Go SSD,Graphique Intégrée,FreeDos,Non,719.0
X515KA-EJ008-8,https://agora.tn/fr/pc-portable/16664-pc-portable-asus-x515ka-celeron-n4500u-8go-256go-ssd-silver.html,PC PORTABLE ASUS X515KA CELERON N4500U 8GO 256GO SSD SILVER,Asus,https://agora.tn/fr/46726-home_default/pc-portable-asus-x515ka-celeron-n4500u-8go-256go-ssd-silver.jpg,agora,15.6,Intel Celeron,8,256 Go SSD,Graphique Intégrée,FreeDos,Non,739.0
X1504VA-NJ520W,https://agora.tn/fr/pc-portable/15389-pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 4GO 256GO SSD SILVER,Asus,https://agora.tn/fr/46316-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-silver.jpg,agora,15.6,Intel Core i3,4,256 Go SSD,Graphique Intégrée,Windows,Non,1049.0
INS-3535-R5,https://agora.tn/fr/pc-portable/16867-pc-portable-dell-inspiron-3535-amd-rayzen-5-8go-512go-ssd-noird.html,PC PORTABLE DELL INSPIRON 3535 AMD RAYZEN 5 8GO 512GO SSD NOIRD,Dell,https://agora.tn/fr/46775-home_default/pc-portable-dell-inspiron-3535-amd-rayzen-5-8go-512go-ssd-noird.jpg,agora,15.6,AMD RYZEN 5,8,512 Go SSD,AMD Radeon,FreeDos,Non,1169.0
X1504VA-NJ814W,https://agora.tn/fr/pc-portable/17170-pc-portable-asus-vivobook-15-i3-1315u-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 I3-1315U 8GO 512GO SSD SILVER,Asus,https://agora.tn/fr/48086-home_default/pc-portable-asus-vivobook-15-i3-1315u-8go-512go-ssd-silver.jpg,agora,15.6,Intel Core i3,8,512 Go SSD,Graphique Intégrée,Windows 11,Non,1189.0
X1504VA-NJ518W,https://agora.tn/fr/pc-portable/16851-pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/46686-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-512go-ssd-bleu.jpg,agora,15.6,Intel Core i3,8,512 Go SSD,Graphique Intégrée,Windows,Non,1189.0
N1612PVNB3530EMEA0,https://agora.tn/fr/pc-portable/15203-pc-portable-dell-vostro-3530-i3-1305u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3530 I3-1305U  8GO 512GO SSD NOIR,Dell,https://agora.tn/fr/42659-home_default/pc-portable-dell-vostro-3530-i3-1305u-8go-512go-ssd-noir.jpg,agora,15.6,Intel Core i3,8,512 Go SSD,Graphique Intégrée,Windows,Non,1199.0
82VG00NXFG,https://agora.tn/fr/pc-portable/17267-pc-portable-lenovo-ideapad-115amn7-amd-rzn-5-16go-512go-ssd.html,PC PORTABLE LENOVO IDEAPAD 115AMN7 AMD RZN 5 16GO 512GO SSD,Lenovo,https://agora.tn/fr/48302-home_default/pc-portable-lenovo-ideapad-115amn7-amd-rzn-5-16go-512go-ssd.jpg,agora,15.6,AMD RYZEN 5,16,512 Go SSD,Graphique Intégrée,Windows 11,Non,1319.0
845B6EA,https://agora.tn/fr/pc-portable/16861-pc-portable-hp-15-fc0003nk-ryzen-5-7520u-8-go-512-go-ssd-argent.html,PC PORTABLE HP 15-FC0003NK RYZEN 5 7520U 8 Go 512 GO SSD ARGENT,Hp,https://agora.tn/fr/46711-home_default/pc-portable-hp-15-fc0003nk-ryzen-5-7520u-8-go-512-go-ssd-argent.jpg,agora,15.6,AMD RYZEN 5,8,512 Go SSD,AMD Radeon,Windows,Non,1519.0
82R400XKFG,https://agora.tn/fr/pc-portable/17050-pc-portable-lenovo-ideapad1-r7-5700u-8go-512go-ssd-156.html,"PC PORTABLE LENOVO IDEAPAD1 R7-5700U 8GO 512GO SSD 15.6""",Lenovo,https://agora.tn/fr/47555-home_default/pc-portable-lenovo-ideapad1-r7-5700u-8go-512go-ssd-156.jpg,agora,15.6,AMD RYZEN 7,8,512 Go SSD,AMD Radeon,Windows,Non,1549.0
X1502VA-NJ561W,https://agora.tn/fr/pc-portable/17173-pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA i5-13420H 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/48053-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-bleu.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Intel UHD Intégrée,Windows 11,Non,1599.0
X1502VA-NJ722W,https://agora.tn/fr/pc-portable/17168-pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I5-13420H 8GO 512GO SSD SILVER,Asus,https://agora.tn/fr/48078-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-silver.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Graphique Intégrée,windows 11 famille,Non,1599.0
81W1017JFE,https://agora.tn/fr/pc-portable/11080-pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-silver.html,PC PORTABLE LENOVO IDEAPAD 3 ADM RYZEN 7 8GO 512GO SILVER,Lenovo,https://agora.tn/fr/37893-home_default/pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-silver.jpg,agora,15.6,AMD RYZEN 7,4,512 Go SSD,AMD Radeon,Windows,Non,1599.0
A2AP8EA,https://agora.tn/fr/pc-portable/15899-pc-portable-hp-15-fd0097nk-i5-1334u-8go-512go-ssd-noir.html,PC PORTABLE HP 15-FD0097NK I5-1334U 8GO 512GO SSD NOIR,Hp,https://agora.tn/fr/44632-home_default/pc-portable-hp-15-fd0097nk-i5-1334u-8go-512go-ssd-noir.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Graphique Intégrée,FreeDos,Non,1639.0
X1502VA-NJ147W,https://agora.tn/fr/pc-portable/15310-pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I5-13500H 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/44475-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-bleu.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Graphique Intégrée,Windows,Non,1649.0
9D6W0EA,https://agora.tn/fr/pc-portable/16862-pc-portable-hp-15-fd0042nk-8go-512go-ssd-silver.html,PC PORTABLE HP 15-FD0042NK 8GO 512GO SSD SILVER,Hp,https://agora.tn/fr/46716-home_default/pc-portable-hp-15-fd0042nk-8go-512go-ssd-silver.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Graphique Intégrée,Windows,Non,1689.0
INS-3535-R7,https://agora.tn/fr/pc-portable/16868-pc-portable-dell-inspiron-3535-16go-1to-ssd.html,PC PORTABLE DELL INSPIRON 3535 16Go 1To SSD,Dell,https://agora.tn/fr/46782-home_default/pc-portable-dell-inspiron-3535-16go-1to-ssd.jpg,agora,15.6,AMD RYZEN 7,16,1 To SSD,AMD Radeon,FreeDos,Non,1779.0
6D6W0EA,https://agora.tn/fr/pc-portable/16863-pc-portable-hp-14s-dq5001nk-i5-1235u-8go-256go-ssd-silver.html,PC PORTABLE HP 14S-DQ5001NK I5-1235U 8GO 256GO SSD SILVER,Hp,https://agora.tn/fr/46898-home_default/pc-portable-hp-14s-dq5001nk-i5-1235u-8go-256go-ssd-silver.jpg,agora,14.0,Intel Core i5,8,256 Go,Graphique Intégrée,Windows,Non,1799.0
735899-3510,https://agora.tn/fr/pc-portable/10666-pc-portable-dell-vostro-3510-i5-1135g7-4go-1to-mx350-noir.html,PC PORTABLE DELL VOSTRO 3510 I5-1135G7 4GO 1TO MX350 NOIR,Dell,https://agora.tn/fr/36366-home_default/pc-portable-dell-vostro-3510-i5-1135g7-4go-1to-mx350-noir.jpg,agora,15.6,Intel Core i5,4,1 To,Nvidia GeForce,FreeDos,Non,1945.0
82FG00QDFG,https://agora.tn/fr/pc-portable/11235-pc-portable-lenovo-ideapad-5-i5-1135g7-8go-512go-ssd-mx450-bleu.html,PC PORTABLE LENOVO IDEAPAD 5 I5-1135G7 8GO 512GO SSD MX450 BLEU,Lenovo,https://agora.tn/fr/38484-home_default/pc-portable-lenovo-ideapad-5-i5-1135g7-8go-512go-ssd-mx450-bleu.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Nvidia GeForce,FreeDos,Non,1975.0
X1704VA-AU154W,https://agora.tn/fr/pc-portable/15700-pc-portable-asus-x1704va-i5-1335u-8go-512go-ssd-bleu.html,PC PORTABLE ASUS X1704VA I5-1335U 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/44024-home_default/pc-portable-asus-x1704va-i5-1335u-8go-512go-ssd-bleu.jpg,agora,17.3,Intel Core i5,8,512 Go SSD,Graphique Intégrée,Windows,Non,1979.0
X1502VA-NJ654W,https://agora.tn/fr/pc-portable/17165-pc-portable-asus-vivobook-15-x1502va-i7-13620h-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I7-13620H 8GO 512GO SSD SILVER,Asus,https://agora.tn/fr/48068-home_default/pc-portable-asus-vivobook-15-x1502va-i7-13620h-8go-512go-ssd-silver.jpg,agora,15.6,Intel Core i7,8,512 Go SSD,Intel Iris Xe,windows 11 famille,Non,2019.0
X1502VA-NJ563W,https://agora.tn/fr/pc-portable/17163-pc-portable-asus-vivobook-15-x1502va-i7-13620-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I7-13620 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/48044-home_default/pc-portable-asus-vivobook-15-x1502va-i7-13620-8go-512go-ssd-bleu.jpg,agora,15.6,Intel Core i7,8,512 Go SSD,Graphique Intégrée,Windows 11,Non,2019.0
83EM00GNFG,https://agora.tn/fr/pc-portable/17054-pc-portable-lenovo-ideapad-slim-3-i7-13620h-16go-512go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD SLIM 3 I7-13620H 16Go 512Go SSD GRIS,Lenovo,https://agora.tn/fr/47492-home_default/pc-portable-lenovo-ideapad-slim-3-i7-13620h-16go-512go-ssd-gris.jpg,agora,15.6,Intel Core i7,16,512 Go SSD,Intel UHD Intégrée,FreeDos,Non,2019.0
X1502VA-NJ232W,https://agora.tn/fr/pc-portable/15374-pc-portable-asus-vivobook-15-x1502va-i7-13700h-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I7-13700H 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/43345-home_default/pc-portable-asus-vivobook-15-x1502va-i7-13700h-8go-512go-ssd-bleu.jpg,agora,15.6,Intel Core i7,8,512 Go SSD,Graphique Intégrée,Windows,Non,2049.0
N1601PVNB3530EMEA01_UBU,https://agora.tn/fr/pc-portable/16508-pc-portable-dell-vostro-3530-i7-1355u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3530 I7-1355U 8GO 512GO SSD NOIR,Dell,https://agora.tn/fr/46020-home_default/pc-portable-dell-vostro-3530-i7-1355u-8go-512go-ssd-noir.jpg,agora,15.6,Intel Core i7,8,512 Go SSD,Intel Iris Xe,Ubuntu,Non,2065.0
83EM00GRFG,https://agora.tn/fr/pc-portable/17053-pc-portable-lenovo-ideapad-s3-i7-13620h-16go-512go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD S3 I7-13620H 16GO 512GO SSD GRIS,Lenovo,https://agora.tn/fr/47552-home_default/pc-portable-lenovo-ideapad-s3-i7-13620h-16go-512go-ssd-gris.jpg,agora,15.6,Intel Core i7,16,512 Go SSD,Graphique Intégrée,Windows,Non,2089.0
82R700K6FG,https://agora.tn/fr/pc-portable/16425-pc-portable-lenovo-ideapad-flex5-i5-1235u-8go-512go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD FLEX5 I5-1235U 8GO 512GO SSD GRIS,Lenovo,https://agora.tn/fr/47560-home_default/pc-portable-lenovo-ideapad-flex5-i5-1235u-8go-512go-ssd-gris.jpg,agora,14.0,Intel Core i5,8,512 Go SSD,Intel Iris Xe,Windows 11,Non,2149.0
X1502VA-NJ256W,https://agora.tn/fr/pc-portable/15369-pc-portable-asus-vivobook-x1502va-i9-13900h-8go-512-go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK X1502VA I9-13900H 8GO 512 GO SSD BLEU,Asus,https://agora.tn/fr/43281-home_default/pc-portable-asus-vivobook-x1502va-i9-13900h-8go-512-go-ssd-bleu.jpg,agora,15.6,Intel Core i9,8,512 Go SSD,Graphique Intégrée,Windows,Non,2175.0
886K4EA,https://agora.tn/fr/pc-portable/16865-pc-portable-hp-15-fd0019nk-i7-8go-512-go-ssd-silver.html,PC PORTABLE HP 15-FD0019NK I7 8GO 512 Go SSD SILVER,Hp,https://agora.tn/fr/46717-home_default/pc-portable-hp-15-fd0019nk-i7-8go-512-go-ssd-silver.jpg,agora,15.6,Intel Core i7,8,512 Go SSD,Graphique Intégrée,Windows 11,Non,2199.0
9U175EA,https://agora.tn/fr/pc-portable-gamer/16632-pc-portable-gamer-hp-victus-15-fa1007nk-i5-13420h-8go-512go-ssd-rtx2050-silver-mica.html,PC PORTABLE GAMER HP VICTUS 15-FA1007NK I5-13420H 8GO 512GO SSD RTX2050 SILVER MICA,Hp,https://agora.tn/fr/46433-home_default/pc-portable-gamer-hp-victus-15-fa1007nk-i5-13420h-8go-512go-ssd-rtx2050-silver-mica.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Nvidia GeForce,Android,Oui,2259.0
9S7-16R831-2607,https://agora.tn/fr/pc-portable-gaming/16768-pc-portable-gaming-msi-thin-15-b13ucx-i5-13420h-8go-512go-ssd-rtx2050.html,PC PORTABLE GAMING MSI THIN 15 B13UCX I5-13420H 8GO 512GO SSD RTX2050,Msi,https://agora.tn/fr/46480-home_default/pc-portable-gaming-msi-thin-15-b13ucx-i5-13420h-8go-512go-ssd-rtx2050.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Nvidia GeForce,FreeDos,Oui,2299.0
FA506NFR-HN005W,https://agora.tn/fr/pc-portable/16869-pc-portable-gamer-asus-tuf-a15-amd-rayzen-7-8go-512go-ssd-rtx2050-noir.html,PC PORTABLE GAMER ASUS TUF A15 AMD RAYZEN 7 8GO 512GO SSD RTX2050 NOIR,Asus,https://agora.tn/fr/46790-home_default/pc-portable-gamer-asus-tuf-a15-amd-rayzen-7-8go-512go-ssd-rtx2050-noir.jpg,agora,15.6,AMD RYZEN 7,8,512 Go SSD,Nvidia GeForce,Windows 11,Oui,2319.0
7J0G9EA,https://agora.tn/fr/pc-portable/16864-pc-portable-hp-14s-dq5005nk-i7-1255u-16go-512go-ssd-argent.html,PC PORTABLE HP 14S-DQ5005NK I7-1255U 16GO  512Go SSD ARGENT,Hp,https://agora.tn/fr/46721-home_default/pc-portable-hp-14s-dq5005nk-i7-1255u-16go-512go-ssd-argent.jpg,agora,14.0,Intel Core i7,8,512 Go SSD,Graphique Intégrée,Windows,Non,2390.0
3530-I5-512SSD,https://agora.tn/fr/pc-portable/14892-pc-portable-dell-latitude-3530-i5-1235u-8go-512go-ssd-noir.html,PC PORTABLE DELL LATITUDE 3530 I5-1235U 8GO 512GO SSD NOIR,Dell,https://agora.tn/fr/42148-home_default/pc-portable-dell-latitude-3530-i5-1235u-8go-512go-ssd-noir.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Graphique Intégrée,FreeDos,Non,2399.0
83LK006VFG,https://agora.tn/fr/pc-portable-gaming/17057-pc-portable-lenovo-loq-i5-12450hx-rtx-3050.html,PC PORTABLE LENOVO LOQ I5-12450HX RTX 3050,Lenovo,https://agora.tn/fr/47541-home_default/pc-portable-lenovo-loq-i5-12450hx-rtx-3050.jpg,agora,15.6,Intel Core i5,16,512 Go SSD,Nvidia GeForce,windows 11 famille,Oui,2609.0
82XX00ALFG,https://agora.tn/fr/pc-portable/15635-pc-portable-lenovo-ideapad-flex-5-14abr8-adm-ryzen-7-gris.html,PC PORTABLE LENOVO IDEAPAD FLEX 5 14ABR8 ADM RYZEN 7 GRIS,Lenovo,https://agora.tn/fr/43922-home_default/pc-portable-lenovo-ideapad-flex-5-14abr8-adm-ryzen-7-gris.jpg,agora,14.0,AMD RYZEN 7,16,512 Go SSD,AMD Radeon,Windows 11,Non,2659.0
82R700NCFG,https://agora.tn/fr/pc-portable/16423-pc-portable-lenovo-ideapad-flex-5-i7-1255u-8go-512go-ssd.html,PC PORTABLE LENOVO IDEAPAD FLEX 5 I7-1255U 8GO 512GO SSD,Lenovo,https://agora.tn/fr/45748-home_default/pc-portable-lenovo-ideapad-flex-5-i7-1255u-8go-512go-ssd.jpg,agora,14.0,Intel Core i7,8,512 Go SSD,Graphique Intégrée,Windows,Non,2679.0
V3607VJ-RP086,https://agora.tn/fr/pc-portable-gamer/17174-pc-portable-gamer-asus-v16-v3607vj-intel-5-210h-8go-512go-ssd-rtx3050.html,PC PORTABLE GAMER ASUS V16 V3607VJ INTEL 5 210H 8GO 512GO SSD RTX3050,Asus,https://agora.tn/fr/48059-home_default/pc-portable-gamer-asus-v16-v3607vj-intel-5-210h-8go-512go-ssd-rtx3050.jpg,agora,15.6,Intel Core i5,8,512 Go SSD,Nvidia GeForce,Windows 11,Oui,2689.0
5430I5-8G-3Y,https://agora.tn/fr/pc-portable/14376-pc-portable-dell-latitude-5430-i5-1235u-8go-512go-ssd-gris.html,PC PORTABLE DELL LATITUDE 5430 I5-1235U 8GO 512GO SSD GRIS,Dell,https://agora.tn/fr/40970-home_default/pc-portable-dell-latitude-5430-i5-1235u-8go-512go-ssd-gris.jpg,agora,14.0,Intel Core i5,8,512 Go SSD,Graphique Intégrée,FreeDos,Non,2745.0
83LK006QFG,https://agora.tn/fr/pc-portable/17055-pc-portable-lenovo-loq-i5-12450hx-16go-512go-ssd-rtx4050-156.html,"PC PORTABLE LENOVO LOQ I5-12450HX 16GO 512GO SSD RTX4050 15.6""",Lenovo,https://agora.tn/fr/48313-home_default/pc-portable-lenovo-loq-i5-12450hx-16go-512go-ssd-rtx4050-156.jpg,agora,15.6,Intel Core i5,16,512 Go SSD,Nvidia GeForce,Windows,Oui,2789.0
845B2EA,https://agora.tn/fr/pc-portable-gaming/17112-pc-portable-hp-victus-gaming-15-fa1003nk-i5-13gen-16go-512go-ssd-rtx3050.html,PC PORTABLE HP VICTUS GAMING 15-FA1003NK I5 13GEN 16GO 512GO SSD RTX3050,Hp,https://agora.tn/fr/47825-home_default/pc-portable-hp-victus-gaming-15-fa1003nk-i5-13gen-16go-512go-ssd-rtx3050.jpg,agora,15.6,Intel Core i5,16,512 Go SSD,Nvidia GeForce,Windows 11,Oui,2799.0
5440-I5512,https://agora.tn/fr/pc-portable/14847-pc-portable-dell-latitude-5440-i5-1335u-8go-512go-ssd-gris.html,PC PORTABLE DELL LATITUDE 5440 I5-1335U 8GO 512GO SSD GRIS,Dell,https://agora.tn/fr/41997-home_default/pc-portable-dell-latitude-5440-i5-1335u-8go-512go-ssd-gris.jpg,agora,14.0,Intel Core i5,8,512 Go SSD,Graphique Intégrée,FreeDos,Non,2799.0
3540-I7-512,https://agora.tn/fr/pc-portable/14846-pc-portable-dell-latitude-3540-i7-1355u-8go-512go-ssd-noir.html,PC PORTABLE DELL LATITUDE 3540 I7-1355U 8GO 512GO SSD NOIR,Dell,https://agora.tn/fr/42005-home_default/pc-portable-dell-latitude-3540-i7-1355u-8go-512go-ssd-noir.jpg,agora,15.6,Intel Core i7,8,512 Go SSD,Graphique Intégrée,FreeDos,Non,2899.0
83LK006TFG,https://agora.tn/fr/pc-portable/17056-pc-portable-lenovo-loq-i7-12650hx-16go-512go-ssd-rtx4050-gris.html,PC PORTABLE LENOVO LOQ I7-12650HX 16GO 512GO SSD RTX4050 GRIS,Lenovo,https://agora.tn/fr/47539-home_default/pc-portable-lenovo-loq-i7-12650hx-16go-512go-ssd-rtx4050-gris.jpg,agora,15.6,Intel Core i7,16,512 Go SSD,Nvidia GeForce,Windows,Oui,2999.0
TP3402VA-LZ264W,https://agora.tn/fr/pc-portable/15702-pc-portable-asus-vivobook-s14-flip-i7-13700h-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK S14 FLIP I7-13700H 8GO 512GO SSD SILVER,Asus,https://agora.tn/fr/44490-home_default/pc-portable-asus-vivobook-s14-flip-i7-13700h-8go-512go-ssd-silver.jpg,agora,14.0,Intel Core i7,8,512 Go SSD,Graphique Intégrée,Windows,Non,3059.0
9S7-15K111-681,https://agora.tn/fr/pc-portable-gamer/16824-pc-portable-gamer-msi-cyborg-15-i5-13420h-rtx-4050.html,PC PORTABLE GAMER MSI CYBORG 15 i5-13420H RTX 4050,Msi,https://agora.tn/fr/46558-home_default/pc-portable-gamer-msi-cyborg-15-i5-13420h-rtx-4050.jpg,agora,15.6,Intel Core i5,16,512 Go SSD,Nvidia GeForce,windows 11 famille,Oui,3089.0
TP3402VA-LZ263W,https://agora.tn/fr/pc-portable/15704-pc-portable-asus-vivobook-s14-flip-i9-13900h-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK S14 FLIP I9-13900H 8GO 512GO SSD SILVER,Asus,https://agora.tn/fr/44491-home_default/pc-portable-asus-vivobook-s14-flip-i9-13900h-8go-512go-ssd-silver.jpg,agora,14.0,Intel Core i9,8,512 Go SSD,Graphique Intégrée,Windows,Non,3235.0
9S7-158571-1692,https://agora.tn/fr/pc-portable-gamer/16831-pc-portable-gamer-msi-katana-15-i5-13420h-rtx-4060.html,PC PORTABLE GAMER MSI KATANA 15 i5-13420H RTX 4060,Msi,https://agora.tn/fr/46543-home_default/pc-portable-gamer-msi-katana-15-i5-13420h-rtx-4060.jpg,agora,15.6,Intel Core i5,16,512 Go SSD,Nvidia GeForce,Windows,Oui,3269.0
9S7-17L541-1439,https://agora.tn/fr/pc-portable-gaming/17075-pc-portable-gamer-msi-katana-17-i7-13620h-rtx-3050.html,PC PORTABLE GAMER MSI KATANA 17 i7-13620H RTX 3050,Msi,https://agora.tn/fr/47681-home_default/pc-portable-gamer-msi-katana-17-i7-13620h-rtx-3050.jpg,agora,17.3,Intel Core i7,8,512 Go SSD,Nvidia GeForce,FreeDos,Oui,3419.0
FA617XS-N4085W,https://agora.tn/fr/pc-portable-gaming/15603-pc-portable-gamer-asus-tuf-a16-advantage-edition-amd-ryzen9-noir.html,PC PORTABLE GAMER ASUS TUF A16 ADVANTAGE EDITION AMD RYZEN9 NOIR,Asus,https://agora.tn/fr/44461-home_default/pc-portable-gamer-asus-tuf-a16-advantage-edition-amd-ryzen9-noir.jpg,agora,16.0,AMD RYZEN 9,16,512 Go SSD,AMD Radeon,Windows,Oui,4539.0
TUF507VI-LP089W,https://agora.tn/fr/pc-portable-gaming/16502-pc-portable-gamer-asus-tuf-f15-i7-13620hs-rtx4070-gris.html,PC PORTABLE GAMER ASUS TUF F15 I7-13620HS RTX4070 GRIS,Asus,https://agora.tn/fr/46360-home_default/pc-portable-gamer-asus-tuf-f15-i7-13620hs-rtx4070-gris.jpg,agora,15.6,Intel Core i7,8,512 Go SSD,Nvidia GeForce,Windows,Oui,4659.0
9S7-15M211-008,https://agora.tn/fr/pc-portable-gaming/16640-pc-portable-gamer-msi-raider-ge68-rtx4060-noir.html,PC PORTABLE GAMER MSI RAIDER GE68 RTX4060 NOIR,Msi,https://agora.tn/fr/46031-home_default/pc-portable-gamer-msi-raider-ge68-rtx4060-noir.jpg,agora,16.0,Intel Core i7,16,1 To SSD,Nvidia GeForce,Windows 11,Oui,6299.0
82V700JUFG,https://agora.tn/fr/pc-portable/16426-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-bleu.html,PC PORTABLE LENOVO IDEAPAD 1 15IGL7 INTEL CELERON N4020 8GO 256GO SSD BLEU,Lenovo,https://agora.tn/fr/45807-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-bleu.jpg,agora,15.6,Intel Celeron,8,256 Go SSD,Graphique Intégrée,FreeDos,Non,689.0
82LX00CKFG,https://agora.tn/fr/pc-portable/16778-pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu.html,PC PORTABLE LENOVO IDEAPAD 1 15IJL7 INTEL CELERON N4500 8GO 256GO SSD BLEU,Lenovo,https://agora.tn/fr/46462-home_default/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu.jpg,agora,15.6,Intel Celeron,8,256 Go SSD,Graphique Intégrée,FreeDos,Non,709.0
82V700JVFG,https://agora.tn/fr/pc-portable/16418-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 1 15IGL7 INTEL CELERON N4020 8GO 256GO SSD GRIS,Lenovo,https://agora.tn/fr/45802-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.jpg,agora,15.6,Intel Celeron,8,256 Go SSD,Graphique Intégrée,FreeDos,Non,719.0
82YU0044FE,https://agora.tn/fr/pc-portable/15019-pc-portable-lenovo-v15-amn-amd-7120u-8go-256go-ssd.html,PC PORTABLE LENOVO V15 AMN AMD 7120U 8GO 256GO SSD,Lenovo,https://agora.tn/fr/42384-home_default/pc-portable-lenovo-v15-amn-amd-7120u-8go-256go-ssd.jpg,agora,15.6,AMD,8,256 Go SSD,AMD Radeon,FreeDos,Non,725.0
82V700EJFG,https://agora.tn/fr/pc-portable/15309-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd.html,PC PORTABLE LENOVO IDEAPAD 1 15IGL7 INTEL CELERON N4020 8GO 256GO SSD,Lenovo,https://agora.tn/fr/42766-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd.jpg,agora,15.6,Intel Celeron,8,256 Go SSD,Graphique Intégrée,Windows,Non,749.0
886L3EA,https://agora.tn/fr/pc-portable/16168-pc-portable-hp-15-fd0028nk-intel-n100-4go-256go-ssd-silver.html,PC PORTABLE HP 15-FD0028NK INTEL N100 4GO 256GO SSD SILVER,Hp,https://agora.tn/fr/45272-home_default/pc-portable-hp-15-fd0028nk-intel-n100-4go-256go-ssd-silver.jpg,agora,15.6,Intel Celeron,4,256 Go SSD,Graphique Intégrée,Windows,Non,769.0
82V700EFFG,https://agora.tn/fr/pc-portable/15308-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 1 15IGL7 INTEL CELERON N4020 8GO 256GO SSD GRIS,Lenovo,https://agora.tn/fr/42761-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.jpg,agora,15.6,Intel Celeron,8,256 Go SSD,Graphique Intégrée,Windows,Non,769.0
